,race,FY,mean,std
0,American Indian/Alaska Native,1985,345226.73625,193651.6570590183
1,American Indian/Alaska Native,1986,528257.49375,376343.54871837446
2,American Indian/Alaska Native,1987,574392.3066666666,379901.7695508895
3,American Indian/Alaska Native,1988,524308.2384615385,341005.74070575234
4,American Indian/Alaska Native,1989,560383.7542857142,453602.88531901885
5,American Indian/Alaska Native,1990,620118.4,480223.74492865975
6,American Indian/Alaska Native,1991,874532.3881249999,1014240.2499457021
7,American Indian/Alaska Native,1992,807788.6544444445,1154642.4091380013
8,American Indian/Alaska Native,1993,965380.0311764706,1390989.4615887976
9,American Indian/Alaska Native,1994,922133.7275,1282653.8809100853
10,American Indian/Alaska Native,1995,1099420.3836842105,1897476.72251443
11,American Indian/Alaska Native,1996,1149909.5272222224,1668383.4116227073
12,American Indian/Alaska Native,1997,1320346.3564705881,2122280.1773119685
13,American Indian/Alaska Native,1998,1148375.2033333334,1574027.1314985424
14,American Indian/Alaska Native,1999,962902.3904,1287239.4083767293
15,American Indian/Alaska Native,2000,861530.71,889551.2827761646
16,American Indian/Alaska Native,2001,753704.0670967742,674188.7879274787
17,American Indian/Alaska Native,2002,839600.0536666666,767711.5442162352
18,American Indian/Alaska Native,2003,1073216.7659999998,1040344.8578143537
19,American Indian/Alaska Native,2004,902585.2278787879,950731.9526315588
20,American Indian/Alaska Native,2005,807996.743939394,891113.1431736131
21,American Indian/Alaska Native,2006,746060.181388889,802144.8851451669
22,American Indian/Alaska Native,2007,626906.3230952381,502006.0064896064
23,American Indian/Alaska Native,2008,568543.4873170732,459804.8592094706
24,American Indian/Alaska Native,2009,528737.7089361702,317660.8698754609
25,American Indian/Alaska Native,2010,450528.1211111111,397221.9111732892
26,American Indian/Alaska Native,2011,464450.324117647,357534.8262593497
27,American Indian/Alaska Native,2012,384305.1008823529,329290.014299993
28,American Indian/Alaska Native,2013,447548.42631578946,305866.19521464105
29,American Indian/Alaska Native,2014,505916.3768888889,344441.67659316026
30,American Indian/Alaska Native,2015,489989.35769230773,329971.0603691949
31,American Indian/Alaska Native,2016,493981.91603448277,350054.03184955165
32,American Indian/Alaska Native,2017,702299.8801923078,1284747.5285936308
33,American Indian/Alaska Native,2018,437932.1595,343149.41519564705
34,American Indian/Alaska Native,2019,639231.4118965517,756467.254906766
35,American Indian/Alaska Native,2020,498581.13619047625,543503.8299873234
36,Asian,1985,552412.9424473684,523910.6479672678
37,Asian,1986,538179.0382517482,540029.4023733024
38,Asian,1987,579459.1899569893,595465.9154855188
39,Asian,1988,570030.7464566929,532670.0901805788
40,Asian,1989,563974.0849023091,540858.1464675628
41,Asian,1990,570130.3646959459,571605.2868894358
42,Asian,1991,579532.7536677115,576701.4957629051
43,Asian,1992,594959.7654405595,584635.2508413738
44,Asian,1993,601301.7860317461,609212.1323320336
45,Asian,1994,587625.5869201995,579918.2268527371
46,Asian,1995,590500.4287471783,618619.6242087992
47,Asian,1996,566730.0737323944,534359.8471179564
48,Asian,1997,565671.9469618056,559531.0242419726
49,Asian,1998,581065.1673293323,602034.9863914455
50,Asian,1999,598975.0386245847,605306.4984968358
51,Asian,2000,634237.6181309524,666073.3916375345
52,Asian,2001,661965.1805177112,638353.8691102671
53,Asian,2002,691429.8852011923,644487.9692500284
54,Asian,2003,692400.5899143836,635852.5333639266
55,Asian,2004,688105.9324369747,646612.2614743863
56,Asian,2005,678827.2091507737,659091.8665375555
57,Asian,2006,631547.5428503724,593103.0381824484
58,Asian,2007,606013.1947413794,562364.8336956903
59,Asian,2008,591681.7976598311,549898.4415958114
60,Asian,2009,585072.8225955504,538161.9764000465
61,Asian,2010,580686.4430077319,537785.9200367593
62,Asian,2011,566562.0173725298,588348.5249323928
63,Asian,2012,560372.8897990544,564746.9003138052
64,Asian,2013,517590.4514160517,528402.4609528993
65,Asian,2014,537804.2137923301,539419.27592664
66,Asian,2015,536469.5739121205,553823.3328685344
67,Asian,2016,554047.1760757994,644627.202028269
68,Asian,2017,574612.4891331096,676527.6103548363
69,Asian,2018,589928.8452090533,686844.7419222236
70,Asian,2019,590657.8031683648,642610.3974814264
71,Asian,2020,600367.5811289337,609558.9052253314
72,Black or African-American,1985,323616.12679999997,215927.49205715038
73,Black or African-American,1986,310734.1044,189830.71430472008
74,Black or African-American,1987,382512.99677419354,247518.94771310792
75,Black or African-American,1988,438878.48000000004,315253.81475567585
76,Black or African-American,1989,506565.88075,573942.5663257213
77,Black or African-American,1990,475538.77625,489681.0600213307
78,Black or African-American,1991,505337.26106382976,419688.3700663392
79,Black or African-American,1992,563507.6209090909,485496.642795071
80,Black or African-American,1993,615348.6310714287,542321.3700011667
81,Black or African-American,1994,620564.38078125,696292.8089819852
82,Black or African-American,1995,572910.535,646065.5070873802
83,Black or African-American,1996,504835.0638317757,529236.6790648546
84,Black or African-American,1997,572739.3478761063,618090.1185120097
85,Black or African-American,1998,550405.1273015874,696373.2965714752
86,Black or African-American,1999,573393.7094776119,688193.3849225674
87,Black or African-American,2000,664893.891884058,1037704.4667174756
88,Black or African-American,2001,750073.3976923077,963005.4939063455
89,Black or African-American,2002,742733.7137096775,991205.8887184252
90,Black or African-American,2003,726808.4755050505,906936.01549848
91,Black or African-American,2004,722383.6574879227,1009662.1525545679
92,Black or African-American,2005,743192.469953271,1180075.0875592479
93,Black or African-American,2006,650643.0173181818,666262.9439084072
94,Black or African-American,2007,649522.4062655602,779365.5742558638
95,Black or African-American,2008,654106.0937552743,1152042.4882421275
96,Black or African-American,2009,573927.5149407114,899110.956915486
97,Black or African-American,2010,616194.1141573034,989031.182899443
98,Black or African-American,2011,571225.909924812,784025.7938935426
99,Black or African-American,2012,537733.3878644067,556453.2231125026
100,Black or African-American,2013,526539.557980456,734795.0169529456
101,Black or African-American,2014,494778.129347181,511045.9512060655
102,Black or African-American,2015,455274.3351622419,402117.7572825961
103,Black or African-American,2016,520318.70739255013,719225.7183008653
104,Black or African-American,2017,496480.140298103,515291.086457144
105,Black or African-American,2018,515529.02917274943,540149.369667997
106,Black or African-American,2019,533760.0812147505,738921.3243816029
107,Black or African-American,2020,525124.5612655971,595216.6235528211
108,More than One Race,1985,629773.4835714286,503201.5532093381
109,More than One Race,1986,608965.6391176471,432762.72780397616
110,More than One Race,1987,560766.7078947368,348047.3992889158
111,More than One Race,1988,567523.6431818182,472550.29517739196
112,More than One Race,1989,570990.9826086956,569158.7937005174
113,More than One Race,1990,633974.5712765958,765439.7362352583
114,More than One Race,1991,678588.8580392157,738507.747789964
115,More than One Race,1992,581042.21625,605774.114717885
116,More than One Race,1993,661344.724262295,627479.2375906905
117,More than One Race,1994,631450.772238806,555082.4201784397
118,More than One Race,1995,581353.4517105262,462829.1359840633
119,More than One Race,1996,566934.2523595506,445696.78306078626
120,More than One Race,1997,519590.2321052631,464239.1682404988
121,More than One Race,1998,549293.7533333333,493401.72738930234
122,More than One Race,1999,580458.9455102041,474640.6629573231
123,More than One Race,2000,623230.5933928571,699396.7057430764
124,More than One Race,2001,644297.9873387098,666709.7445600372
125,More than One Race,2002,708191.0773134328,694608.1915403921
126,More than One Race,2003,700393.5538461539,612566.0265345104
127,More than One Race,2004,730154.2238323353,699676.9828634626
128,More than One Race,2005,674924.5505524862,690767.1368571203
129,More than One Race,2006,664383.6597790056,971558.72886547
130,More than One Race,2007,652863.9293922652,729117.8343804951
131,More than One Race,2008,667549.5232777777,888866.7291285222
132,More than One Race,2009,737738.9562162162,1641514.4732417949
133,More than One Race,2010,699266.0549029126,1742730.582563655
134,More than One Race,2011,600279.6315207373,764365.7150104817
135,More than One Race,2012,603045.2593103448,915289.27709369
136,More than One Race,2013,546037.8370042194,725910.7324918797
137,More than One Race,2014,579879.8323430963,829554.921758377
138,More than One Race,2015,555683.4187951807,694933.1809754875
139,More than One Race,2016,568869.2572972972,733586.6655953239
140,More than One Race,2017,592816.5219285714,809584.1216689697
141,More than One Race,2018,615245.8670532915,890441.0627005703
142,More than One Race,2019,586352.5836956522,810908.8566410389
143,More than One Race,2020,621368.3460869566,822058.8762395363
144,Native Hawaiian or Other Pacific Islander,1985,720655.9039999999,851389.8027548037
145,Native Hawaiian or Other Pacific Islander,1986,668454.122,835049.5258220112
146,Native Hawaiian or Other Pacific Islander,1987,691219.078,839407.0130092463
147,Native Hawaiian or Other Pacific Islander,1988,799010.718,782737.6114447356
148,Native Hawaiian or Other Pacific Islander,1989,769354.436,807185.2420235513
149,Native Hawaiian or Other Pacific Islander,1990,948338.65,1341189.083381522
150,Native Hawaiian or Other Pacific Islander,1991,916566.145,1064341.327182637
151,Native Hawaiian or Other Pacific Islander,1992,932740.5766666667,1106459.2695875538
152,Native Hawaiian or Other Pacific Islander,1993,1400802.72,1740887.637560759
153,Native Hawaiian or Other Pacific Islander,1994,944441.5380000001,1376277.3596410928
154,Native Hawaiian or Other Pacific Islander,1995,838730.6083333333,1237730.8366429284
155,Native Hawaiian or Other Pacific Islander,1996,709697.3328571429,944679.1736171679
156,Native Hawaiian or Other Pacific Islander,1997,674907.7028571429,778700.6118534104
157,Native Hawaiian or Other Pacific Islander,1998,601496.534,472221.3730956686
158,Native Hawaiian or Other Pacific Islander,1999,881012.6816666666,861157.332285302
159,Native Hawaiian or Other Pacific Islander,2000,930167.515,634189.9369625224
160,Native Hawaiian or Other Pacific Islander,2001,910450.4310000001,591956.0197539999
161,Native Hawaiian or Other Pacific Islander,2002,895014.9784615386,598332.1780676894
162,Native Hawaiian or Other Pacific Islander,2003,807515.0913333334,582080.847010061
163,Native Hawaiian or Other Pacific Islander,2004,734701.6035294117,717589.5274781892
164,Native Hawaiian or Other Pacific Islander,2005,605825.9753333334,513413.42609340703
165,Native Hawaiian or Other Pacific Islander,2006,568055.6715384616,489381.92298820755
166,Native Hawaiian or Other Pacific Islander,2007,527094.110625,408189.41442463436
167,Native Hawaiian or Other Pacific Islander,2008,630524.1171428572,388574.1125296131
168,Native Hawaiian or Other Pacific Islander,2009,550594.366875,388092.5351618284
169,Native Hawaiian or Other Pacific Islander,2010,432740.66799999995,314508.15959649516
170,Native Hawaiian or Other Pacific Islander,2011,448942.5707692308,269514.48017967626
171,Native Hawaiian or Other Pacific Islander,2012,492859.9571428572,281236.96450918674
172,Native Hawaiian or Other Pacific Islander,2013,459194.5611111111,275716.4131886243
173,Native Hawaiian or Other Pacific Islander,2014,341554.1892857143,218862.31404579905
174,Native Hawaiian or Other Pacific Islander,2015,376663.07941176475,252145.0604418703
175,Native Hawaiian or Other Pacific Islander,2016,816286.8633333334,1235822.5669903161
176,Native Hawaiian or Other Pacific Islander,2017,449136.3635294117,558636.9766783719
177,Native Hawaiian or Other Pacific Islander,2018,527364.024375,580239.8270853239
178,Native Hawaiian or Other Pacific Islander,2019,475907.079,484047.1459203207
179,Native Hawaiian or Other Pacific Islander,2020,469538.02210526314,495984.3386665739
180,White,1985,617605.4733619374,793572.3645365061
181,White,1986,607088.1200985222,724433.9271432894
182,White,1987,662335.1965142766,775058.6961935383
183,White,1988,663640.9118138778,796699.8336739265
184,White,1989,673685.7764258399,795655.6218162251
185,White,1990,672246.5921128404,798457.7935813538
186,White,1991,674174.0209411903,789782.1223300418
187,White,1992,687596.9025504021,799949.2045527287
188,White,1993,691037.4661236915,822735.2951924442
189,White,1994,693880.9868905874,809910.7731848072
190,White,1995,691204.5433252521,776416.3227961438
191,White,1996,702898.5372779816,857567.981075234
192,White,1997,709038.2422683156,863808.4004589282
193,White,1998,716643.1455986741,882006.7512584173
194,White,1999,753371.4450795816,925972.9862500854
195,White,2000,800454.6111392046,981592.798676238
196,White,2001,847543.5794039557,1089175.3807663443
197,White,2002,879531.3180948425,1197412.4877660791
198,White,2003,886348.4765810205,1190820.3197280914
199,White,2004,886105.990408283,1238688.7211539021
200,White,2005,867380.7729983905,1271453.4150375938
201,White,2006,820591.3998767766,1371439.127728546
202,White,2007,794496.268251673,1302428.8994428206
203,White,2008,755318.8200617566,1215156.5131495385
204,White,2009,754438.5413882325,1165545.3089091405
205,White,2010,738412.8129973294,1145487.688140191
206,White,2011,700879.5956856952,1186958.6531269317
207,White,2012,688194.228682509,1034362.7707819286
208,White,2013,644456.5431670331,896777.4931572933
209,White,2014,665870.9218826448,1099358.4631458235
210,White,2015,649411.1613914884,1115495.1968350199
211,White,2016,661808.8705187071,1019644.731848894
212,White,2017,667637.0804748574,1179312.295791915
213,White,2018,662457.3662863342,1025601.221879687
214,White,2019,672144.4090948983,1024073.9892680921
215,White,2020,671598.2517016502,1012391.2079501185
